Name,Category,Neighbourhood,IssuedYear,ExpiredYear,FullAddress,LAT,LONG,gislink
METRO INN LTD.,Accomodation,Burnside,2016,2021,"680 GARBALLY RD
VICTORIA BC  V8T 2K2",48.44115491,-123.3697026,10729013
0943124 BC LTD,Accomodation,Burnside,2013,2022,"2531 GOVERNMENT ST
VICTORIA BC  V8T 4P6",48.43678743,-123.3669485,9698019
2500 DOUGLAS STREET INVESTMENTS LTD,Accomodation,Burnside,2016,2022,"2500 DOUGLAS ST
VICTORIA BC  V8T 4M1",48.43595074,-123.3661273,9698011
723 FIELD STREET HOLDINGS LTD,Accomodation,Burnside,2015,2022,"723 FIELD ST
VICTORIA BC  V8T 1N7",48.43465608,-123.363875,V00101010
ANITA ROBERTS AND JAMES BURREN,Accomodation,Burnside,2022,2022,"106-105 GORGE RD E
VICTORIA BC  V9A 6Z3",48.44204841,-123.3867259,000-721-140
BELMONT PROPERTIES,Accomodation,Burnside,2019,2022,"565 MANCHESTER RD
VICTORIA BC  V8T 2N7",48.44200168,-123.3732294,10732010
"BLENHEIM VENTURES LTD
WEST COAST GARDENS",Accomodation,Burnside,2012,2022,"755 MARKET ST
VICTORIA BC  V8T 2E5",48.43925189,-123.3641702,9695014
"BRADY, CHARLES",Accomodation,Burnside,2012,2022,"626 DUNEDIN ST
VICTORIA BC  V8T 2L8",48.44185603,-123.3714189,10730019
CANADIAN APARTMENT PROPERTIES,Accomodation,Burnside,2012,2022,"155 GORGE RD E
VICTORIA BC  V9A 6Y1",48.44230078,-123.3841047,11759028
CANADIAN APARTMENT PROPERTIES,Accomodation,Burnside,2012,2022,"157 GORGE RD E
VICTORIA BC  V9A 6Y1",48.44230078,-123.3841047,11759028
CANADIAN APARTMENT PROPERTIES,Accomodation,Burnside,2012,2022,"215 GORGE RD E
VICTORIA BC  NCA",48.44213562,-123.3834099,11759029
CANADIAN APARTMENT PROPERTIES,Accomodation,Burnside,2012,2022,"243 GORGE RD E
VICTORIA BC  V9A 1L6",48.44260606,-123.3809193,10727085
CHEWS TV & STEREO LTD,Accomodation,Burnside,2012,2022,"493 BURNSIDE RD E
VICTORIA BC  V8T 2X3",48.44450565,-123.3752254,10744004
"DEENSHAW, GURMEJ K",Accomodation,Burnside,2012,2022,"558 SUMAS ST
VICTORIA BC  V8T 4S3",48.44283639,-123.3725103,10735021
F.C. DOUGLAS PROPERTIES LTD,Accomodation,Burnside,2019,2022,"3025 DOUGLAS ST
VICTORIA BC  V8T 4N2",48.44389795,-123.3695947,9688004
"FRENCH, DOMINICK L",Accomodation,Burnside,2012,2022,"537 BURNSIDE RD E
VICTORIA BC  V8T 2X7",48.44342875,-123.3728864,10735008
GORDREAU APARTMENTS,Accomodation,Burnside,2012,2022,"135 GORGE RD E
VICTORIA BC  V9A 1L1",48.44201917,-123.3855397,11759026
HSUS ENTERPRISES CORP,Accomodation,Burnside,2012,2022,"3150 JUTLAND RD
VICTORIA BC  V8T 2T3",48.44400334,-123.3748957,10744006
"LEGER, CHRIS
LEGER, NIKKI",Accomodation,Burnside,2022,2022,"205-105 GORGE RD E
VICTORIA BC  V9A 6Z3",48.44204841,-123.3867259,000-721-204
"LYNCO INVESTMENTS INC
DUNEDIN SQUARE",Accomodation,Burnside,2012,2022,"456 GORGE RD E
VICTORIA BC  V8T 2W4",48.44100945,-123.3736354,10731010
RIVIERA APARTMENTS,Accomodation,Burnside,2012,2022,"3175 HARRIET RD
VICTORIA BC  V9A 1T7",48.44909733,-123.3844599,11756001
ROCK BAY APARTMENTS,Accomodation,Burnside,2018,2022,"2828 ROCK BAY AVE
VICTORIA BC  V8T 4S1",48.43892659,-123.3708731,10711011
ROSS PLACE SENIORS RESIDENCE SOCIETY,Accomodation,Burnside,2017,2022,"2638 ROSS LANE
VICTORIA BC  V8T 5M4",48.43763081,-123.3654311,9696076
THE WELLESLEY,Accomodation,Burnside,2019,2022,"213-2800 BLANSHARD ST
VICTORIA BC  V8T 5B5",48.44030508,-123.3644185,013-459-201
"VAN DONKERSGOED, KEVIN A",Accomodation,Burnside,2020,2022,"3043 WASHINGTON AVE
VICTORIA BC  V9A 1P7",48.4440263,-123.3809709,10746031
"VERBENKOV, TINA
VERBENKOV, RYAN",Accomodation,Burnside,2013,2022,"3093 WASHINGTON AVE
VICTORIA BC  V9A 1P7",48.44533094,-123.3802347,10746001
"ALL FORTUNE CONSULTING LTD
HOWARD JOHNSON HOTEL",Accomodation,Burnside,2013,2022,"310 GORGE RD E
VICTORIA BC  V8T 2W2",48.44325651,-123.3785382,10746025
ARBUTUS INN,Accomodation,Burnside,2012,2022,"2898 DOUGLAS ST
VICTORIA BC  V8T 4M9",48.44154648,-123.3695673,10729022
BLANSHARD INN & SUITES,Accomodation,Burnside,2012,2022,"760 QUEENS AVE
VICTORIA BC  V8T 1M3",48.43432279,-123.363341,1010008
DAYS INN VICTORIA UPTOWN,Accomodation,Burnside,2012,2022,"229 GORGE RD E
VICTORIA BC  V9A 1L1",48.4425056,-123.3826116,11759030
HOTEL ZED,Accomodation,Burnside,2012,2022,"3110 DOUGLAS ST
VICTORIA BC  V8Z 3K4",48.44597347,-123.3720135,10738030
ROBIN HOOD MOTELS LTD,Accomodation,Burnside,2013,2022,"136 GORGE RD E
VICTORIA BC  V9A 1L4",48.44374194,-123.3843286,11753019
SANDMAN HOTEL,Accomodation,Burnside,2012,2022,"2852 DOUGLAS ST
VICTORIA BC  V8T 4M5",48.43936163,-123.3683454,10728012
THE OXFORD,Accomodation,Burnside,2013,2022,"133 GORGE RD E
VICTORIA BC  V9A 1L1",48.44260896,-123.3853212,11759025
THE SCOTSMAN MOTEL,Accomodation,Burnside,2012,2022,"490 GORGE RD E
VICTORIA BC  V8T 2W4",48.44083555,-123.3728241,10731011
TRAVELODGE VICTORIA,Accomodation,Burnside,2019,2022,"123 GORGE RD E
VICTORIA BC  V9A 1L1",48.44273377,-123.3859618,11759024
HIC PM REGION VICTORIA HOSTEL,Accomodation,Downtown,2012,2021,"516 YATES ST
VICTORIA BC  V8W 1K8",48.42711312,-123.369704,1063010
1802-1826 GOVERNMENT STREET PROPERTIES LTD,Accomodation,Downtown,2012,2022,"1814-1802 GOVERNMENT ST
VICTORIA BC  V8T 4N5",48.43062968,-123.3674316,1058004
5 DIAMONDS VACATION RENTALS LTD,Accomodation,Downtown,2021,2022,"507-528 PANDORA AVE
VICTORIA   V8W 0C6",48.42892827,-123.3687353,029-265-355
"ADDERSON, CAROLINE",Accomodation,Downtown,2021,2022,"412-728 YATES ST
VICTORIA   V8W 0C8",48.42644509,-123.3633571,029-518-148
ADELPHI BLOCK PROPERTIES INC,Accomodation,Downtown,2021,2022,"1304 GOVERNMENT ST
VICTORIA BC  V8W 1Y8",48.42684834,-123.3676924,V00621039
ANTHEM DOMINION HOLDINGS LIMITED PARTNERSHIP,Accomodation,Downtown,2017,2022,"759 YATES ST
VICTORIA BC  NCA",48.42575962,-123.3627129,1022010
AVRAM HOLDINGS INC,Accomodation,Downtown,2016,2022,"603-788 HUMBOLDT ST
VICTORIA BC  V8W 4A2",48.42098248,-123.3637766,026-807-025
AWAREHOUSE LOFT,Accomodation,Downtown,2021,2022,"204-534 YATES ST
VICTORIA BC  V8W 1K8",48.42710896,-123.3692858,027-594-084
BASTION MANAGEMENT LTD,Accomodation,Downtown,2022,2022,"205-788 HUMBOLDT ST
VICTORIA BC  V8W 4A2",48.42098248,-123.3637766,026-806-801
BC663140 LTD,Accomodation,Downtown,2018,2022,"1402-788 HUMBOLDT ST
VICTORIA BC  V8W 4A2",48.42098248,-123.3637766,026-807-432
"BURNS, STEPHEN R
UITZ, DIANE L",Accomodation,Downtown,2022,2022,"501-707 COURTNEY ST
VICTORIA BC  V8W 0A9",48.42250773,-123.3653406,027-962-881
CHRISTINE SMITH- COLLINS,Accomodation,Downtown,2021,2022,"215-595 PANDORA AVE
VICTORIA   V8W 1N5",48.42819153,-123.3679094,030-102-707
CITY LIFE SUITES,Accomodation,Downtown,2019,2022,"410-595 PANDORA AVE
VICTORIA   V8W 1N5",48.42819153,-123.3679094,030-102-880
CITY LIFE SUITES LTD,Accomodation,Downtown,2018,2022,"307-760 JOHNSON ST
VICTORIA BC  V8W 0A4",48.42718272,-123.3622279,027-683-257
CLEAN SWEEP,Accomodation,Downtown,2022,2022,"401-707 COURTNEY ST
VICTORIA BC  V8W 0A9",48.42250773,-123.3653406,027-962-733
"COLONIAL METROPOLE
HERITAGE REALTY PROPERTIES LTD",Accomodation,Downtown,2012,2022,"545 JOHNSON ST
VICTORIA BC  V8W 1M2",48.42752208,-123.3691241,1062003
"COREY, JANET",Accomodation,Downtown,2022,2022,"516-517 FISGARD ST
VICTORIA   V8W 0C5",48.42892827,-123.3687353,029-265-304
"COUPLAND, HILARY",Accomodation,Downtown,2021,2022,"203-732 CORMORANT ST
VICTORIA BC  V8W 4A5",48.42884496,-123.3632426,026-573-172
CRAIG AND ARLENE LERACH,Accomodation,Downtown,2021,2022,"440-770 FISGARD ST
VICTORIA BC  V8W 0B8",48.42984161,-123.3637582,028-333-667
"DAIT, OWEN
DAIT, HAYDEE",Accomodation,Downtown,2019,2022,"327-770 FISGARD ST
VICTORIA BC  V8W 0B8",48.42984161,-123.3637582,028-333-098
"DE PASQUALE, FABIO",Accomodation,Downtown,2022,2022,"407-707 COURTNEY ST
VICTORIA BC  V8W 0A9",48.42250773,-123.3653406,027-962-792
DECO DE MODE INC,Accomodation,Downtown,2021,2022,"1408 BROAD ST
VICTORIA BC  V8W 2B1",48.42767048,-123.3662885,1045010
DR KIRSTIE OVERHILL LTD,Accomodation,Downtown,2018,2022,"1410-751 FAIRFIELD RD
VICTORIA BC  V8W 4A4",48.42125261,-123.3641321,026-607-492
"DUCK & BROADLANE
HERITAGE REALTY PROPERTIES LTD",Accomodation,Downtown,2012,2022,"1314 BROAD ST
VICTORIA BC  V8W 2A9",48.42711047,-123.3664022,1042003
DUTTONS & CO PROPERTY MANAGEMENT,Accomodation,Downtown,2021,2022,"303-728 YATES ST
VICTORIA   V8W 0C8",48.42644509,-123.3633571,029-517-931
"GRAND CENTRAL APTS
HERITAGE REALTY PROPERTIES LTD",Accomodation,Downtown,2012,2022,"553 JOHNSON ST
VICTORIA BC  V8W 1M2",48.42738037,-123.3686847,1062034
"GRISAK, PATRICK
GRISAK, WANDA",Accomodation,Downtown,2021,2022,"1601-751 FAIRFIELD RD
VICTORIA BC  V8W 4A4",48.42125261,-123.3641321,026-607-603
"HAY, JOHN",Accomodation,Downtown,2021,2022,"808-751 FAIRFIELD RD
VICTORIA BC  V8W 4A4",48.42125261,-123.3641321,026-606-976
HERALD 681 HOLDINGS LTD,Accomodation,Downtown,2012,2022,"681 HERALD ST
VICTORIA BC  V8W 1S8",48.42998336,-123.365304,1047006
HERALD STREET INC,Accomodation,Downtown,2012,2022,"532 HERALD ST
VICTORIA BC  V8W 1S6",48.43045094,-123.3682909,1058011
HERALD STREET INC,Accomodation,Downtown,2012,2022,"536 HERALD ST
VICTORIA BC  V8W 1S6",48.4306224,-123.3679264,1058036
HOMES FIRST HOLDINGS INC,Accomodation,Downtown,2019,2022,"307-601 HERALD ST
VICTORIA BC  V8W 1S8",48.43001811,-123.3666651,028-719-867
HUDSON MEWS HOLDINGS LTD.,Accomodation,Downtown,2015,2022,"780 FISGARD ST
VICTORIA BC  V8W 0E1",48.42969392,-123.3628867,V00171005
HUDSON WALK ONE,Accomodation,Downtown,2017,2022,"755 CALEDONIA AVE
VICTORIA BC  V8T 0C2",48.43068983,-123.3633954,V00161016
HUDSON WALK TWO,Accomodation,Downtown,2019,2022,"785 CALEDONIA AVE
VICTORIA BC  V8T 0C3",48.4308672,-123.3625489,V00161017
I/S CRISTANTE,Accomodation,Downtown,2022,2022,"207-728 YATES ST
VICTORIA   V8W 0C8",48.42644509,-123.3633571,029-517-869
IRFAN RAJANI,Accomodation,Downtown,2022,2022,"1503-728 YATES ST
VICTORIA   V8W 0C8",48.42644509,-123.3633571,029-519-233
"JANECEK, MARCI
MORRIS, TIMOTHY",Accomodation,Downtown,2022,2022,"304-708 BURDETT AVE
VICTORIA BC  V8W 0A8",48.42250773,-123.3653406,027-962-695
"JENNER, LYNNE G",Accomodation,Downtown,2014,2022,"201-534 YATES ST
VICTORIA BC  V8W 1K8",48.42710896,-123.3692858,027-594-050
KELSI AND TREVOR STILES JANION BACHELOR SUITE,Accomodation,Downtown,2022,2022,"228A-1610 STORE ST
VICTORIA BC  V8W 0E3",48.4287474,-123.3703272,029-992-745
KENT APTS,Accomodation,Downtown,2012,2022,"1322 BLANSHARD ST
VICTORIA BC  V8W 2J1",48.42677399,-123.3622061,1021009
KINEMACOLOR,Accomodation,Downtown,2013,2022,"101-1600 GOVERNMENT ST
VICTORIA BC  V8W 1Z3",48.42878417,-123.3673566,024-790-397
"KIRKLAND, KEVIN
KIRKLAND, EMMA",Accomodation,Downtown,2021,2022,"201-728 YATES ST
VICTORIA   V8W 0C8",48.42644509,-123.3633571,029-517-800
"LIN, MA",Accomodation,Downtown,2021,2022,"604-728 YATES ST
VICTORIA   V8W 0C8",48.42644509,-123.3633571,029-518-300
LONDON FLATS,Accomodation,Downtown,2012,2022,"1315 BROAD ST
VICTORIA BC  V8W 2A8",48.42703893,-123.3656889,1043001
"LOW, RAYMOND
GOH, MICHELLE",Accomodation,Downtown,2021,2022,"609-728 YATES ST
VICTORIA   V8W 0C8",48.42644509,-123.3633571,029-518-351
"MACGILLIVRAY, ALICE",Accomodation,Downtown,2021,2022,"209-728 YATES ST
VICTORIA   V8W 0C8",48.42644509,-123.3633571,029-517-885
MARIA LOURENS,Accomodation,Downtown,2021,2022,"408-728 YATES ST
VICTORIA   V8W 0C8",48.42644509,-123.3633571,029-518-105
"MEADOWS, MICHAEL
MEADOWS, ALLISON",Accomodation,Downtown,2021,2022,"311-760 JOHNSON ST
VICTORIA BC  V8W 0A4",48.42718272,-123.3622279,027-683-290
"MONTEITH, COLIN
MONTEITH, SARAH",Accomodation,Downtown,2021,2022,"307-770 FISGARD ST
VICTORIA BC  V8W 0B8",48.42984161,-123.3637582,028-332-890
